Date,Away,Away_3rdQ,Away_Score,Home,Home_3rdQ,Home_Score
1208,Orlando Magic,62,85,Denver Nuggets,63,74
1208,Utah Jazz,80,106,Sacramento Kings,86,114
1209,Miami Heat,54,81,Charlotte Hornets,80,99
1209,Chicago Bulls,75,100,Boston Celtics,75,105
1209,Houston Rockets,82,109,Washington Wizards,83,103
1209,San Antonio Spurs,62,94,Toronto Raptors,73,97
1209,Memphis Grizzlies,67,93,Detroit Pistons,74,92
1209,Los Angeles Lakers,81,122,Minnesota Timberwolves,84,123
1209,LA Clippers,75,109,Milwaukee Bucks,68,95
1209,Orlando Magic,73,104,Phoenix Suns,84,107
1209,New York Knicks,59,85,Utah Jazz,82,106
1209,Atlanta Hawks,76,98,Dallas Mavericks,72,95
1210,Philadelphia 76ers,74,91,Brooklyn Nets,70,100
1210,Atlanta Hawks,75,94,Oklahoma City Thunder,83,107
1210,LA Clippers,54,80,Chicago Bulls,64,83
1210,New York Knicks,65,97,Sacramento Kings,76,99
1211,Detroit Pistons,89,107,Philadelphia 76ers,66,95
1211,Miami Heat,68,83,Indiana Pacers,77,96
1211,Cleveland Cavaliers,83,111,Orlando Magic,52,76
1211,Golden State Warriors,82,124,Boston Celtics,75,119
1211,Milwaukee Bucks,60,83,Toronto Raptors,70,90
1211,Washington Wizards,77,105,New Orleans Pelicans,77,107
1211,Charlotte Hornets,93,123,Memphis Grizzlies,73,99
1211,Oklahoma City Thunder,72,94,Utah Jazz,67,90
1211,Minnesota Timberwolves,78,108,Denver Nuggets,73,111
1211,Los Angeles Lakers,71,87,San Antonio Spurs,79,109
1211,Portland Trail Blazers,78,106,Phoenix Suns,82,96
1212,LA Clippers,77,105,Brooklyn Nets,63,100
1212,Boston Celtics,73,98,Charlotte Hornets,69,93
1212,Indiana Pacers,79,96,Detroit Pistons,102,118
1212,Los Angeles Lakers,76,97,Houston Rockets,91,126
1212,San Antonio Spurs,79,103,Atlanta Hawks,55,78
1212,New Orleans Pelicans,70,94,Chicago Bulls,64,98
1212,Golden State Warriors,77,95,Milwaukee Bucks,80,108
1212,Washington Wizards,90,114,Dallas Mavericks,72,111
1212,New York Knicks,76,112,Portland Trail Blazers,86,110
1213,Minnesota Timberwolves,66,101,Phoenix Suns,85,108
1213,Memphis Grizzlies,78,97,Miami Heat,71,100
1213,Philadelphia 76ers,58,76,Toronto Raptors,69,96
1213,Utah Jazz,76,98,Oklahoma City Thunder,71,104
1214,Toronto Raptors,64,90,Indiana Pacers,73,106
1214,LA Clippers,73,105,Detroit Pistons,63,103
1214,Orlando Magic,83,105,Brooklyn Nets,69,82
1214,Philadelphia 76ers,68,96,Chicago Bulls,85,115
1214,Miami Heat,74,100,Atlanta Hawks,61,88
1214,Washington Wizards,61,95,Memphis Grizzlies,83,112
1214,Phoenix Suns,58,94,Dallas Mavericks,77,104
1214,Utah Jazz,58,81,San Antonio Spurs,98,118
1214,Houston Rockets,82,108,Denver Nuggets,88,114
1214,New Orleans Pelicans,69,101,Portland Trail Blazers,78,105
1215,Cleveland Cavaliers,69,89,Boston Celtics,61,77
1215,Denver Nuggets,92,112,Minnesota Timberwolves,80,100
1215,Houston Rockets,74,97,Sacramento Kings,82,107
1215,Milwaukee Bucks,66,95,Los Angeles Lakers,86,113
1216,Dallas Mavericks,64,81,Indiana Pacers,75,107
1216,Charlotte Hornets,73,98,Orlando Magic,89,113
1216,Minnesota Timberwolves,70,102,New York Knicks,78,107
1216,Miami Heat,84,104,Brooklyn Nets,78,98
1216,Boston Celtics,83,116,Detroit Pistons,85,119
1216,Philadelphia 76ers,76,106,Atlanta Hawks,102,127
1216,Portland Trail Blazers,67,90,Oklahoma City Thunder,88,106
1216,Memphis Grizzlies,66,85,Chicago Bulls,74,98
1216,Washington Wizards,71,95,San Antonio Spurs,86,114
1216,New Orleans Pelicans,73,104,Utah Jazz,79,94
1216,Milwaukee Bucks,66,90,LA Clippers,78,103
1216,Phoenix Suns,65,103,Golden State Warriors,105,128
1217,Toronto Raptors,65,99,Charlotte Hornets,77,109
1217,Oklahoma City Thunder,78,100,Cleveland Cavaliers,74,104
1217,Houston Rockets,78,107,Los Angeles Lakers,68,87
1218,Portland Trail Blazers,68,94,Orlando Magic,74,102
1218,Brooklyn Nets,77,97,Indiana Pacers,72,104
1218,New York Knicks,89,107,Philadelphia 76ers,68,97
1218,Atlanta Hawks,71,109,Boston Celtics,73,101
1218,Toronto Raptors,81,108,Miami Heat,77,94
1218,Detroit Pistons,74,147,Chicago Bulls,77,144
1218,Sacramento Kings,77,95,Minnesota Timberwolves,83,99
1218,LA Clippers,88,107,San Antonio Spurs,85,115
1218,Memphis Grizzlies,66,88,Dallas Mavericks,75,97
1218,Denver Nuggets,73,88,Utah Jazz,77,97
1218,New Orleans Pelicans,64,88,Phoenix Suns,77,104
1218,Milwaukee Bucks,93,112,Golden State Warriors,85,121
1219,Los Angeles Lakers,55,78,Oklahoma City Thunder,92,118
1219,Charlotte Hornets,75,101,Washington Wizards,86,109
1219,Chicago Bulls,68,91,New York Knicks,77,107
1219,Indiana Pacers,66,84,Memphis Grizzlies,70,96
1219,LA Clippers,71,97,Houston Rockets,83,107
1220,Minnesota Timberwolves,75,100,Brooklyn Nets,65,85
1220,Portland Trail Blazers,86,109,Miami Heat,82,116
1220,Philadelphia 76ers,60,86,Cleveland Cavaliers,88,108
1220,Milwaukee Bucks,70,101,Phoenix Suns,71,95
1220,Atlanta Hawks,77,103,Orlando Magic,78,100
1220,Sacramento Kings,78,104,Toronto Raptors,70,94
1220,New Orleans Pelicans,99,130,Denver Nuggets,96,125
1221,Sacramento Kings,84,99,Washington Wizards,84,113
1221,Minnesota Timberwolves,72,99,Boston Celtics,92,113
1221,Orlando Magic,78,107,New York Knicks,73,99
1221,Brooklyn Nets,85,105,Chicago Bulls,78,102
1221,Portland Trail Blazers,58,97,Atlanta Hawks,77,106
1221,Charlotte Hornets,60,95,Houston Rockets,69,102
1221,Indiana Pacers,70,92,San Antonio Spurs,79,106
1221,Phoenix Suns,61,89,Utah Jazz,79,110
1221,Oklahoma City Thunder,72,100,LA Clippers,77,99
1222,Memphis Grizzlies,77,104,Philadelphia 76ers,66,90
1222,Dallas Mavericks,67,99,Toronto Raptors,72,103
1222,Detroit Pistons,72,93,Miami Heat,75,92
1222,Los Angeles Lakers,83,111,Denver Nuggets,80,107
1223,New York Knicks,72,84,Cleveland Cavaliers,72,91
1223,Boston Celtics,74,102,Charlotte Hornets,62,89
1223,Houston Rockets,74,101,Orlando Magic,87,104
1223,Memphis Grizzlies,65,91,Washington Wizards,81,100
1223,Sacramento Kings,84,108,Indiana Pacers,82,106
1223,Dallas Mavericks,81,119,Brooklyn Nets,87,118
1223,San Antonio Spurs,77,108,Minnesota Timberwolves,61,83
1223,Portland Trail Blazers,65,89,New Orleans Pelicans,80,115
1223,Philadelphia 76ers,70,100,Milwaukee Bucks,92,113
1223,Detroit Pistons,67,100,Atlanta Hawks,82,107
1223,Denver Nuggets,79,104,Phoenix Suns,72,96
1223,Utah Jazz,58,85,Golden State Warriors,73,103
1223,Oklahoma City Thunder,92,120,Los Angeles Lakers,61,85
1225,New Orleans Pelicans,52,88,Miami Heat,63,94
1225,Chicago Bulls,86,105,Oklahoma City Thunder,68,96
1225,Cleveland Cavaliers,59,83,Golden State Warriors,64,89
1225,San Antonio Spurs,60,84,Houston Rockets,61,88
1225,LA Clippers,85,94,Los Angeles Lakers,57,84
1226,Washington Wizards,79,111,Brooklyn Nets,77,96
1226,Toronto Raptors,76,111,Milwaukee Bucks,79,90
1226,Houston Rockets,91,108,New Orleans Pelicans,84,110
1226,Memphis Grizzlies,74,92,Charlotte Hornets,74,98
1226,Miami Heat,69,108,Orlando Magic,76,101
1226,Boston Celtics,76,99,Detroit Pistons,61,93
1226,New York Knicks,75,98,Atlanta Hawks,87,117
1226,Indiana Pacers,66,102,Minnesota Timberwolves,68,88
1226,Chicago Bulls,89,111,Dallas Mavericks,90,118
1226,Denver Nuggets,65,86,San Antonio Spurs,76,101
1226,Philadelphia 76ers,85,111,Phoenix Suns,75,104
1226,LA Clippers,79,109,Utah Jazz,77,104
1226,Cleveland Cavaliers,59,76,Portland Trail Blazers,90,105
1227,Los Angeles Lakers,74,96,Memphis Grizzlies,92,112
1227,New York Knicks,65,91,Boston Celtics,77,100
1227,Denver Nuggets,90,112,Oklahoma City Thunder,91,122
1227,Portland Trail Blazers,80,98,Sacramento Kings,80,94
1228,New Orleans Pelicans,64,89,Orlando Magic,75,104
1228,Atlanta Hawks,68,87,Indiana Pacers,74,93
1228,Los Angeles Lakers,81,98,Charlotte Hornets,85,108
